[26-Aug-2013 19:19:22] PHP Fatal error:  Cannot redeclare class Database in C:\www\bak.meijervision\public_html\vcmeijer\data\functions-db.php on line 61
[26-Aug-2013 19:29:17] PHP Notice:  Undefined index: id in C:\www\bak.meijervision\public_html\vcmeijer\about\press-article.php on line 35
[26-Aug-2013 20:33:44] PHP Notice:  Use of undefined constant h1 - assumed 'h1' in C:\www\bak.meijervision\public_html\vcmeijer\data\functions-press.php on line 77
[26-Aug-2013 20:33:44] PHP Notice:  Use of undefined constant h2 - assumed 'h2' in C:\www\bak.meijervision\public_html\vcmeijer\data\functions-press.php on line 78
[26-Aug-2013 20:33:44] PHP Notice:  Use of undefined constant body - assumed 'body' in C:\www\bak.meijervision\public_html\vcmeijer\data\functions-press.php on line 79
[26-Aug-2013 20:37:23] PHP Notice:  Undefined offset: 0 in C:\www\bak.meijervision\public_html\vcmeijer\data\functions-press.php on line 74
[26-Aug-2013 20:37:23] PHP Notice:  Undefined offset: 0 in C:\www\bak.meijervision\public_html\vcmeijer\data\functions-press.php on line 49
[26-Aug-2013 20:39:14] PHP Notice:  Undefined offset: 0 in C:\www\bak.meijervision\public_html\vcmeijer\data\functions-press.php on line 74
[26-Aug-2013 20:39:37] PHP Notice:  Undefined offset: 0 in C:\www\bak.meijervision\public_html\vcmeijer\data\functions-press.php on line 74
[03-Sep-2013 17:03:37] PHP Parse error:  syntax error, unexpected '>' in C:\www\bak.meijervision\public_html\vcmeijer\about\press-article.php on line 51
[03-Sep-2013 17:03:47] PHP Notice:  Undefined variable: img_caption in C:\www\bak.meijervision\public_html\vcmeijer\about\press-article.php on line 49
[03-Sep-2013 17:03:47] PHP Notice:  Undefined variable: img_caption in C:\www\bak.meijervision\public_html\vcmeijer\about\press-article.php on line 49
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 24
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 24
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 52
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeNumber in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 52
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 55
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 56
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 56
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 56
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 60
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 64
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 65
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 74
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 77
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeNumber in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 77
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 83
[23-Oct-2013 21:56:06] PHP Warning:  Invalid argument supplied for foreach() in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 83
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 96
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 109
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 151
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 163
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 163
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 164
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 164
[23-Oct-2013 21:56:06] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 168
[23-Oct-2013 21:56:06] PHP Warning:  Invalid argument supplied for foreach() in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 168
[23-Oct-2013 21:57:27] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 24
[23-Oct-2013 21:57:27] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 24
[23-Oct-2013 21:57:27] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 53
[23-Oct-2013 21:57:27] PHP Notice:  Undefined variable: storeDetails in C:\www\bak.meijervision\public_html\vcmeijer\about\eye-doctors.php on line 53
